,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
0,0.1,5.5,1000,36.0408,27.3954,True
1,0.1,5.5,100,36.0404,27.3934,True
2,0.1,6,1000,36.0227,27.2587,True
3,0.1,6,100,36.0226,27.2585,True
4,0.17782,5.5,1000,35.9262,27.2467,False
5,0.17782,5.5,100,35.9258,27.2447,False
6,0.1,6.5,1000,35.9932,27.2035,False
7,0.1,6.5,100,35.9936,27.2032,True
8,0.1,7,1000,35.5941,27.1469,False
9,0.1,7,100,35.5929,27.1468,False
10,0.17782,6,1000,35.8782,27.106,False
11,0.17782,6,100,35.8779,27.1057,False
12,0.1,7.5,100,34.8219,27.0827,False
13,0.1,7.5,1000,34.8248,27.0826,False
14,0.17782,6.5,1000,35.9086,27.0305,True
15,0.17782,6.5,100,35.9084,27.0304,True
16,0.3,5.5,1000,35.7272,27.0244,False
17,0.3,5.5,100,35.7276,27.0223,True
18,0.1,8,1000,34.18,27.0198,False
19,0.1,8,100,34.1776,27.0198,False
20,0.31624,5.5,1000,35.7008,26.9955,False
21,0.31624,5.5,100,35.701,26.9935,False
22,0.17782,7,1000,35.5074,26.961,False
23,0.17782,7,100,35.5066,26.9609,False
24,0.17782,7.5,100,34.7514,26.8822,False
25,0.17782,7.5,1000,34.7537,26.8822,False
26,0.3,6,1000,35.6925,26.8776,False
27,0.3,6,100,35.6927,26.8771,False
28,0.31624,6,1000,35.671,26.8479,False
29,0.31624,6,100,35.6714,26.8472,False
30,0.17782,8,100,34.1004,26.8031,False
31,0.17782,8,1000,34.1028,26.8031,False
32,0.3,6.5,1000,35.717,26.7719,False
33,0.3,6.5,100,35.717,26.7717,True
34,0.31624,6.5,1000,35.6922,26.739,False
35,0.31624,6.5,100,35.6924,26.7389,True
36,0.3,7,1000,35.4036,26.6815,False
37,0.3,7,100,35.4035,26.6813,False
38,0.31624,7,1000,35.3913,26.6458,False
39,0.31624,7,100,35.3913,26.6456,False
40,0.562,5.5,1000,35.3445,26.5816,False
41,0.562,5.5,100,35.3471,26.5794,False
42,0.3,7.5,100,34.6888,26.5783,False
43,0.3,7.5,1000,34.6914,26.5782,False
44,0.31624,7.5,100,34.689,26.5374,False
45,0.31624,7.5,1000,34.6913,26.5374,False
46,0.3,8,100,34.0128,26.4778,False
47,0.3,8,1000,34.0154,26.4778,False
48,0.31624,8,100,34.0061,26.4361,False
49,0.31624,8,1000,34.0085,26.4361,False
50,0.562,6,1000,35.4627,26.4116,False
51,0.562,6,100,35.4662,26.4096,False
52,0.562,6.5,1000,35.4945,26.2676,False
53,0.562,6.5,100,35.4951,26.2673,True
54,0.562,7,1000,35.219,26.1254,False
55,0.562,7,100,35.219,26.1253,False
56,0.562,7.5,1000,34.6123,25.9643,False
57,0.562,7.5,100,34.6112,25.9642,False
58,1,5.5,1000,35.0485,25.9262,False
59,1,5.5,100,35.0538,25.9235,False
60,0.562,8,100,34.0312,25.8343,False
61,0.562,8,1000,34.0328,25.8341,False
62,1,6,1000,35.3905,25.6822,False
63,1,6,100,35.3956,25.6799,False
64,1,6.5,1000,35.4076,25.4833,False
65,1,6.5,100,35.4102,25.4815,True
66,1,7,1000,35.0314,25.2048,False
67,1,7,100,35.0323,25.2047,True
68,1,7.5,1000,34.4764,24.9554,False
69,1,7.5,100,34.4768,24.9552,False
70,1,8,1000,33.7119,24.7353,False
71,1,8,100,33.7122,24.7351,False
72,2,5.5,1000,34.5438,24.5011,False
73,2,5.5,100,34.5589,24.4961,True
74,2,6,1000,34.3624,23.9093,False
75,2,6,100,34.3715,23.9059,True
76,2,6.5,1000,33.6206,23.2959,False
77,2,6.5,100,33.6257,23.2936,True
78,2,7,1000,32.5971,22.7175,False
79,2,7,100,32.6005,22.7159,True
80,3,5.5,1000,32.1926,22.6169,False
81,3,5.5,100,32.2183,22.6104,True
82,2,7.5,1000,31.4224,22.1358,False
83,2,7.5,100,31.4257,22.1343,True
84,0.1,8,10,29.4457,22.0506,False
85,3,6,1000,31.3076,21.8607,False
86,3,6,100,31.3257,21.8555,True
87,2,8,1000,30.1567,21.5486,False
88,2,8,100,30.1584,21.5478,False
89,0.17782,8,10,28.9885,21.5225,False
90,3,6.5,1000,30.3146,21.0303,False
91,3,6.5,100,30.3269,21.0269,True
92,0.1,7.5,10,29.2697,20.9829,True
93,0.3,8,10,28.3565,20.7382,False
94,0.31624,8,10,28.2651,20.6395,False
95,0.17782,7.5,10,28.8342,20.4938,False
96,3,7,1000,29.0984,20.259,False
97,3,7,100,29.1055,20.2573,True
98,0.1,7,10,28.574,19.7454,True
99,0.3,7.5,10,28.1012,19.7339,False
100,0.31624,7.5,10,28.0097,19.6429,False
101,3,7.5,1000,28.0273,19.4654,False
102,3,7.5,100,28.033,19.4637,False
103,0.17782,7,10,28.1615,19.3,True
104,0.562,8,10,26.97,19.2221,False
105,3,8,1000,26.7652,18.6903,False
106,3,8,100,26.7696,18.6891,False
107,0.3,7,10,27.5967,18.6484,False
108,0.31624,7,10,27.5095,18.5601,False
109,0.1,6.5,10,27.6935,18.4897,True
110,0.562,7.5,10,26.7101,18.3784,False
111,0.17782,6.5,10,27.3812,18.1145,True
112,0.3,6.5,10,26.8511,17.5624,True
113,6,5.5,1000,25.3131,17.4995,False
114,0.31624,6.5,10,26.7875,17.495,True
115,6,5.5,100,25.3721,17.4856,False
116,0.562,7,10,26.286,17.4228,True
117,1,8,10,24.969,17.2886,False
118,0.1,6,10,26.2188,17.2335,True
119,0.17782,6,10,26.0077,16.9514,True
120,1,7.5,10,24.8123,16.5673,False
121,0.562,6.5,10,25.7929,16.5651,True
122,0.3,6,10,25.7309,16.5621,True
123,0.31624,6,10,25.6867,16.5118,True
124,0.1,5.5,10,24.957,16.5032,False
125,6,6,1000,24.4248,16.4732,False
126,6,6,100,24.4736,16.4615,False
127,0.17782,5.5,10,24.7882,16.3133,False
128,0.3,5.5,10,24.5027,16.0497,False
129,0.31624,5.5,10,24.4625,16.0176,False
130,1,7,10,25.0591,15.9902,False
131,0.562,6,10,25.0665,15.8595,True
132,0.562,5.5,10,23.8597,15.5811,False
133,6,6.5,1000,23.3125,15.5585,False
134,0.1,5.5,1,20.9283,15.5558,False
135,6,6.5,100,23.3535,15.5501,False
136,0.1,5.5,0.1,20.8448,15.5486,False
137,0.17782,5.5,1,20.8117,15.447,False
138,0.17782,5.5,0.1,20.743,15.4408,False
139,1,6.5,10,24.7404,15.4153,True
140,0.1,6,1,21.6086,15.2965,False
141,0.3,5.5,1,20.64,15.289,False
142,0.1,6,0.1,21.5056,15.286,False
143,0.3,5.5,0.1,20.5933,15.2841,False
144,0.31624,5.5,1,20.6181,15.2691,False
145,0.31624,5.5,0.1,20.5745,15.2643,False
146,0.17782,6,1,21.5661,15.1705,False
147,0.17782,6,0.1,21.4658,15.1623,False
148,0.1,6.5,1,21.6962,15.1491,False
149,0.1,6.5,0.1,21.5103,15.1309,False
150,0.1,7,1,21.3229,15.0759,False
151,0.1,7,0.1,21.1971,15.0537,False
152,0.17782,6.5,1,21.5798,15,False
153,0.1,7.5,1,20.7783,14.9987,False
154,1,6,10,24.4108,14.9882,True
155,0.3,6,1,21.4502,14.9878,False
156,0.1,7.5,0.1,20.6151,14.9868,False
157,0.562,5.5,1,20.382,14.9842,False
158,0.17782,6.5,0.1,21.4252,14.9841,False
159,0.562,5.5,0.1,20.3595,14.9798,False
160,0.3,6,0.1,21.3598,14.9791,False
161,1,5.5,10,22.8932,14.972,False
162,0.1,8,1,20.4323,14.9715,False
163,0.31624,6,1,21.4379,14.9638,False
164,0.31624,6,0.1,21.3485,14.955,False
165,0.1,8,0.1,20.1919,14.9385,False
166,0.17782,7,1,21.2579,14.9165,False
167,0.17782,7,0.1,21.1344,14.8949,False
168,0.17782,7.5,1,20.6512,14.8232,False
169,0.17782,7.5,0.1,20.5168,14.8117,False
170,0.3,6.5,1,21.4205,14.7913,False
171,6,7,1000,22.1706,14.7849,False
172,6,7,100,22.1992,14.7793,False
173,0.3,6.5,0.1,21.3016,14.778,False
174,0.31624,6.5,1,21.4053,14.7655,False
175,0.17782,8,1,20.2259,14.764,False
176,0.31624,6.5,0.1,21.2899,14.7523,False
177,0.17782,8,0.1,19.9424,14.7433,False
178,0.3,7,1,21.137,14.6868,False
179,0.3,7,0.1,21.0201,14.6633,False
180,0.31624,7,1,21.1168,14.6566,False
181,0.31624,7,0.1,21.0022,14.6328,False
182,0.562,6,1,21.1886,14.6294,False
183,0.562,6,0.1,21.0895,14.6218,False
184,0.3,7.5,1,20.459,14.5717,False
185,0.3,7.5,0.1,20.3354,14.5583,False
186,0.31624,7.5,1,20.4344,14.541,False
187,1,5.5,1,20.2527,14.5368,False
188,1,5.5,0.1,20.2259,14.5322,False
189,0.31624,7.5,0.1,20.3181,14.5268,False
190,0.3,8,1,19.9263,14.4665,False
191,0.3,8,0.1,19.644,14.4629,False
192,0.31624,8,1,19.887,14.4299,False
193,0.31624,8,0.1,19.6158,14.4264,False
194,0.562,6.5,1,21.1613,14.4024,False
195,0.562,6.5,0.1,21.0636,14.3932,False
196,2,8,10,22.0738,14.3748,False
197,0.562,7,1,20.8809,14.2406,False
198,0.562,7,0.1,20.7616,14.2235,False
199,2,7.5,10,22.8685,14.1732,False
200,1,6,1,20.9353,14.1641,False
201,1,6,0.1,20.8529,14.1593,False
202,0.562,7.5,1,20.1757,14.106,False
203,0.562,7.5,0.1,20.0751,14.0967,False
204,6,7.5,1000,21.056,14.0871,False
205,6,7.5,100,21.0734,14.0837,False
206,2,5.5,10,21.8051,14.0371,False
207,2,7,10,23.1602,13.9857,False
208,0.562,8,1,19.3968,13.9338,False
209,0.562,8,0.1,19.2384,13.931,False
210,1,6.5,1,20.869,13.9051,False
211,1,6.5,0.1,20.7952,13.898,False
212,2,6.5,10,23.4016,13.8664,True
213,2,6,10,23.1039,13.8296,True
214,2,5.5,1,20.1949,13.7894,False
215,2,5.5,0.1,20.1686,13.7876,False
216,1,7,1,20.5753,13.6831,False
217,1,7,0.1,20.5012,13.6691,False
218,1,7.5,1,19.8476,13.4624,False
219,1,7.5,0.1,19.7678,13.4544,False
220,6,8,1000,19.9827,13.4236,False
221,6,8,100,19.996,13.4211,False
222,3,5.5,10,21.0545,13.4201,False
223,2,6,1,20.6139,13.4038,False
224,2,6,0.1,20.5644,13.4016,False
225,1,8,1,18.8973,13.2676,False
226,1,8,0.1,18.7997,13.2661,False
227,3,5.5,1,20.1523,13.2613,False
228,3,5.5,0.1,20.1291,13.2598,False
229,10,5.5,1000,19.7018,13.2046,False
230,10,5.5,100,19.7845,13.1904,False
231,3,6,10,22.0744,13.125,False
232,2,6.5,1,20.5703,13.0972,False
233,2,6.5,0.1,20.5201,13.0951,False
234,3,6.5,10,22.5131,12.9138,True
235,3,6,1,20.4772,12.8692,False
236,3,6,0.1,20.4534,12.8677,False
237,3,7,10,22.0089,12.8234,True
238,2,7,1,20.2048,12.8137,False
239,2,7,0.1,20.1469,12.8117,False
240,3,7.5,10,21.3038,12.779,True
241,3,8,10,20.6725,12.7697,True
242,2,7.5,1,19.4365,12.5609,False
243,2,7.5,0.1,19.3725,12.5563,False
244,3,6.5,1,20.4369,12.5219,False
245,3,6.5,0.1,20.405,12.5193,False
246,10,6,1000,18.994,12.4293,False
247,10,6,100,19.0514,12.4197,False
248,2,8,1,18.3554,12.3673,False
249,2,8,0.1,18.2976,12.3643,False
250,3,7,1,19.8594,12.1988,False
251,3,7,0.1,19.8134,12.1971,False
252,6,5.5,10,20.4959,12.1385,True
253,6,5.5,1,20.1429,12.1018,False
254,6,5.5,0.1,20.1348,12.1015,False
255,3,7.5,0.1,18.9706,11.9225,False
256,3,7.5,1,19.0248,11.9224,False
257,10,6.5,1000,18.2385,11.7566,False
258,10,6.5,100,18.2815,11.7499,False
259,3,8,1,18.0315,11.6773,False
260,3,8,0.1,17.9799,11.674,False
261,6,6,10,20.325,11.6167,True
262,6,6,1,19.848,11.5657,False
263,6,6,0.1,19.8376,11.5642,False
264,6,6.5,10,19.9746,11.2125,True
265,10,7,1000,17.4519,11.1609,False
266,10,7,100,17.4857,11.1562,False
267,6,6.5,1,19.2388,11.1175,False
268,6,6.5,0.1,19.2253,11.115,False
269,6,7,10,19.395,10.8189,True
270,6,7,1,18.4172,10.6911,False
271,6,7,0.1,18.3997,10.6892,False
272,10,5.5,10,18.5725,10.6884,True
273,10,5.5,1,18.3878,10.6841,False
274,10,5.5,0.1,18.3851,10.6839,False
275,10,7.5,1000,16.6587,10.6224,False
276,10,7.5,100,16.6856,10.619,False
277,6,7.5,10,18.512,10.4399,True
278,6,7.5,0.1,17.2646,10.3472,False
279,6,7.5,1,17.2712,10.3464,False
280,10,8,1000,15.8181,10.1272,False
281,10,8,100,15.841,10.1243,False
282,10,6,1,18.0637,10.0668,False
283,10,6,0.1,18.0575,10.0659,False
284,10,6,10,18.2814,10.0633,True
285,6,8,10,17.544,10.0452,False
286,6,8,0.1,16.2033,9.92464,False
287,6,8,1,16.2258,9.9218,False
288,10,6.5,10,17.5785,9.5182,True
289,10,6.5,1,17.2443,9.49468,True
290,10,6.5,0.1,17.2287,9.49456,True
291,18,5.5,1000,14.9102,9.20559,False
292,18,5.5,100,15.0634,9.19196,False
293,10,7,10,16.8567,9.00979,True
294,10,7,0.1,16.2818,8.98402,False
295,10,7,1,16.2957,8.9835,True
296,18,6,1000,14.2889,8.67638,False
297,18,6,100,14.3955,8.66683,False
298,18,5.5,10,15.363,8.52307,False
299,18,5.5,1,15.2949,8.52293,False
300,18,5.5,0.1,15.2938,8.5229,False
301,10,7.5,10,16.0481,8.49875,True
302,10,7.5,1,15.2906,8.47719,False
303,10,7.5,0.1,15.2811,8.47698,False
304,18,6.5,1000,13.673,8.21645,False
305,18,6.5,100,13.7464,8.21017,False
306,10,8,10,15.3242,8.0142,False
307,10,8,0.1,14.3776,7.99822,False
308,10,8,1,14.3793,7.99643,False
309,18,6,0.1,15.3793,7.85921,False
310,18,6,1,15.383,7.85908,False
311,18,6,10,15.5386,7.8546,True
312,18,7,1000,13.0357,7.80297,False
313,18,7,100,13.0904,7.79833,False
314,18,7.5,1000,12.3718,7.43558,False
315,18,7.5,100,12.4122,7.43222,False
316,18,6.5,10,15.1065,7.32747,True
317,18,6.5,1,14.9676,7.3207,True
318,18,6.5,0.1,14.9598,7.32007,True
319,18,8,1000,11.7597,7.10402,False
320,18,8,100,11.7896,7.10158,False
321,18,7,10,14.3915,6.88711,True
322,18,7,1,14.1216,6.87655,True
323,18,7,0.1,14.1127,6.87645,True
324,30,5.5,0.1,13.1004,6.80178,False
325,30,5.5,1,13.1017,6.80169,False
326,30,5.5,10,13.1281,6.80141,False
327,32,5.5,1,12.8476,6.62041,False
328,32,5.5,0.1,12.8468,6.62039,False
329,32,5.5,10,12.8725,6.62,False
330,30,5.5,1000,11.7775,6.59468,False
331,30,5.5,100,12.0062,6.58283,False
332,18,7.5,10,13.5026,6.52778,True
333,18,7.5,1,13.1089,6.52198,False
334,18,7.5,0.1,13.1089,6.52033,False
335,32,5.5,1000,11.3924,6.31528,False
336,30,6,0.1,13.0092,6.31486,False
337,30,6,1,13.017,6.31413,False
338,30,6,10,13.1123,6.31291,True
339,32,5.5,100,11.6331,6.30358,False
340,30,6,1000,11.2933,6.21898,False
341,30,6,100,11.463,6.20948,False
342,18,8,10,12.736,6.19189,False
343,18,8,0.1,12.1541,6.18416,False
344,18,8,1,12.1658,6.1832,False
345,32,6,0.1,12.7682,6.15119,False
346,32,6,1,12.7765,6.15041,False
347,32,6,10,12.8648,6.14866,False
348,32,6,1000,10.9533,5.95727,False
349,32,6,100,11.1262,5.94838,False
350,30,6.5,10,12.9325,5.89536,True
351,30,6.5,1,12.8217,5.89253,True
352,30,6.5,0.1,12.8178,5.89212,True
353,30,6.5,1000,10.7365,5.88589,False
354,30,6.5,100,10.8621,5.87884,False
355,32,6.5,10,12.6455,5.74831,True
356,32,6.5,1,12.5448,5.74525,False
357,32,6.5,0.1,12.5412,5.74494,False
358,32,6.5,1000,10.4105,5.63746,False
359,32,6.5,100,10.5428,5.63047,False
360,30,7,1000,10.1532,5.59682,False
361,30,7,100,10.2433,5.59169,False
362,30,7,1,12.412,5.56848,False
363,30,7,0.1,12.4083,5.56784,False
364,30,7,10,12.5753,5.56572,True
365,32,7,1,12.1924,5.43062,False
366,32,7,0.1,12.1894,5.42986,False
367,32,7,10,12.3467,5.42537,True
368,32,7,1000,9.85296,5.35976,False
369,32,7,100,9.94783,5.35445,False
370,30,7.5,1000,9.6092,5.33925,False
371,30,7.5,100,9.67464,5.33538,False
372,56,5.5,1,10.9851,5.31789,False
373,56,5.5,0.1,10.9867,5.31764,False
374,56,5.5,10,10.9775,5.31724,False
375,30,7.5,1,11.7052,5.28791,False
376,30,7.5,0.1,11.703,5.28698,False
377,30,7.5,10,11.9746,5.27959,True
378,32,7.5,1,11.5303,5.16066,False
379,32,7.5,0.1,11.5285,5.16003,False
380,32,7.5,10,11.7839,5.15158,True
381,32,7.5,1000,9.31055,5.11227,False
382,30,8,1000,9.09285,5.10989,False
383,32,7.5,100,9.37993,5.10831,False
384,30,8,100,9.1375,5.10702,False
385,30,8,0.1,10.8513,5.06241,False
386,30,8,1,10.8608,5.062,False
387,30,8,10,11.2575,5.04725,True
388,56,6,0.1,10.9618,4.96964,False
389,56,6,1,10.9643,4.96952,False
390,56,6,10,10.9921,4.96817,False
391,32,8,0.1,10.682,4.94329,False
392,32,8,1,10.692,4.9427,False
393,32,8,10,11.081,4.9252,True
394,32,8,1000,8.80145,4.89367,False
395,32,8,100,8.85021,4.89067,False
396,56,6.5,1,10.7313,4.68262,False
397,56,6.5,0.1,10.7309,4.6825,False
398,56,6.5,10,10.8191,4.68217,True
399,56,7,1,10.2925,4.43913,False
400,56,7,0.1,10.2945,4.43823,False
401,56,7,10,10.429,4.42655,True
402,100,5.5,1,9.57149,4.33916,False
403,100,5.5,0.1,9.57007,4.33913,False
404,100,5.5,10,9.52812,4.33867,False
405,56,5.5,1000,8.34915,4.28598,False
406,56,5.5,100,8.72044,4.27965,False
407,56,7.5,1,9.95837,4.24447,False
408,56,7.5,0.1,9.95719,4.24351,False
409,56,7.5,10,10.1263,4.21819,True
410,56,8,1,9.44138,4.0859,False
411,56,8,0.1,9.43395,4.08585,False
412,100,6,0.1,9.52256,4.08546,False
413,100,6,1,9.52256,4.08541,False
414,100,6,10,9.52414,4.08449,False
415,56,6,1000,8.09888,4.05407,False
416,56,6,100,8.37003,4.04867,False
417,56,8,10,9.69151,4.03578,True
418,100,6.5,0.1,9.21088,3.868,False
419,100,6.5,1,9.20372,3.86791,False
420,100,6.5,10,9.2566,3.85756,True
421,56,6.5,1000,7.79573,3.84591,False
422,56,6.5,100,7.99053,3.8406,False
423,100,7,0.1,8.82091,3.69714,False
424,100,7,1,8.82001,3.69703,False
425,100,7,10,8.93054,3.66099,True
426,56,7,1000,7.44383,3.65834,False
427,56,7,100,7.5841,3.65418,False
428,178,5.5,10,8.1252,3.6189,False
429,178,5.5,1,8.1888,3.61874,False
430,178,5.5,0.1,8.19128,3.61846,False
431,100,7.5,0.1,8.46992,3.55162,False
432,100,7.5,1,8.47653,3.55153,False
433,56,7.5,1000,7.05774,3.4892,False
434,56,7.5,100,7.16245,3.4856,False
435,100,7.5,10,8.56202,3.48553,True
436,100,8,1,8.07539,3.43047,False
437,100,8,0.1,8.06782,3.43044,False
438,178,6,0.1,8.1567,3.42166,False
439,178,6,1,8.14886,3.42122,False
440,178,6,10,8.15226,3.40521,False
441,56,8,1000,6.6527,3.33268,False
442,56,8,100,6.73087,3.32932,False
443,100,8,10,8.25897,3.32051,True
444,178,6.5,0.1,7.94528,3.24946,False
445,178,6.5,1,7.94103,3.2494,False
446,178,6.5,10,8.04031,3.19811,True
447,178,7,1,7.63298,3.12309,False
448,178,7,0.1,7.63406,3.12291,False
449,300,5.5,1,6.85617,3.10438,False
450,300,5.5,0.1,6.86375,3.10424,False
451,300,5.5,10,6.83918,3.0651,False
452,316,5.5,1,6.7308,3.05831,False
453,316,5.5,0.1,6.73704,3.05818,False
454,178,7,10,7.69838,3.02938,True
455,178,7.5,0.1,7.25643,3.0199,False
456,178,7.5,1,7.24765,3.01833,False
457,316,5.5,10,6.71992,3.01118,False
458,300,6,0.1,6.90218,2.95042,False
459,300,6,1,6.89453,2.9503,False
460,178,8,0.1,6.81453,2.92324,False
461,178,8,1,6.81969,2.92046,False
462,316,6,1,6.76883,2.9075,False
463,316,6,0.1,6.77492,2.90733,False
464,178,7.5,10,7.396,2.87087,True
465,300,6,10,6.98025,2.86747,False
466,100,5.5,100,6.59503,2.8243,False
467,100,5.5,1000,6.10924,2.82156,False
468,316,6,10,6.87257,2.81439,False
469,300,6.5,0.1,6.7892,2.81302,False
470,300,6.5,1,6.78892,2.81163,False
471,316,6.5,0.1,6.6769,2.773,False
472,316,6.5,1,6.67579,2.77104,False
473,178,8,10,7.1542,2.71192,True
474,300,7,0.1,6.53871,2.70032,False
475,300,7,1,6.53425,2.69721,False
476,100,6,100,6.21493,2.6686,False
477,100,6,1000,5.844,2.66825,False
478,300,6.5,10,6.97964,2.66683,True
479,316,7,0.1,6.42408,2.66125,False
480,316,7,1,6.41429,2.65729,False
481,316,6.5,10,6.87527,2.61195,True
482,300,7.5,0.1,6.18488,2.60412,False
483,300,7.5,1,6.1858,2.5978,False
484,562,5.5,0.1,5.38412,2.58712,False
485,562,5.5,1,5.37394,2.5815,False
486,316,7.5,0.1,6.06993,2.56562,False
487,316,7.5,1,6.07441,2.55808,False
488,100,6.5,1000,5.56059,2.53221,False
489,100,6.5,100,5.84225,2.531,False
490,300,8,0.1,5.83042,2.52355,False
491,300,8,1,5.85317,2.51104,False
492,300,7,10,6.83638,2.48964,True
493,316,8,0.1,5.73097,2.48464,False
494,316,8,1,5.76588,2.47237,False
495,562,6,0.1,5.40145,2.46146,False
496,562,6,1,5.41549,2.44993,False
497,316,7,10,6.75484,2.43512,True
498,100,7,1000,5.29889,2.41208,False
499,100,7,100,5.50907,2.41085,False
500,562,5.5,10,5.70322,2.35947,False
501,562,6.5,0.1,5.3149,2.34639,False
502,562,6.5,1,5.34642,2.33276,False
503,300,7.5,10,6.61483,2.32536,True
504,100,7.5,1000,5.06221,2.30594,False
505,100,7.5,100,5.21591,2.30422,False
506,316,7.5,10,6.52893,2.27155,True
507,562,7,0.1,5.14794,2.24127,False
508,562,7,1,5.19687,2.21887,False
509,100,8,1000,4.82538,2.20716,False
510,100,8,100,4.93857,2.20516,False
511,562,6,10,5.90376,2.1699,False
512,300,8,10,6.31986,2.16568,True
513,562,7.5,0.1,4.9205,2.14384,False
514,562,7.5,1,4.98169,2.11462,False
515,316,8,10,6.24196,2.10951,True
516,562,8,0.1,4.70296,2.05274,False
517,1000,5.5,0.1,4.52617,2.045,False
518,562,8,1,4.76951,2.01509,False
519,1000,5.5,1,4.58992,2.01377,False
520,562,6.5,10,5.93173,1.99335,True
521,1000,6,0.1,4.64325,1.91202,False
522,1000,6,1,4.70605,1.87715,False
523,178,5.5,100,4.91746,1.84569,False
524,178,5.5,1000,4.31015,1.83263,False
525,562,7,10,5.80612,1.83258,True
526,1000,6.5,0.1,4.62742,1.78905,False
527,1000,6.5,1,4.69115,1.75059,False
528,178,6,100,4.62676,1.74475,False
529,178,6,1000,4.15584,1.73694,False
530,562,7.5,10,5.56321,1.68986,True
531,1000,7,0.1,4.5086,1.6751,False
532,1000,5.5,10,5.068,1.67255,False
533,178,6.5,100,4.35106,1.65591,False
534,178,6.5,1000,3.98824,1.65122,False
535,1000,7,1,4.57338,1.63567,False
536,178,7,100,4.07348,1.57602,False
537,178,7,1000,3.79527,1.57319,False
538,1000,7.5,0.1,4.32102,1.57154,False
539,562,8,10,5.31205,1.56223,True
540,1000,6,10,5.12173,1.53641,True
541,1000,7.5,1,4.38505,1.5322,False
542,178,7.5,100,3.80375,1.50443,False
543,178,7.5,1000,3.58918,1.50291,False
544,1000,8,0.1,4.09531,1.47856,False
545,1000,8,1,4.15561,1.4397,False
546,178,8,100,3.55705,1.43863,False
547,178,8,1000,3.39464,1.43782,False
548,1000,6.5,10,5.01818,1.41791,True
549,1000,7,10,4.85131,1.31475,True
550,300,5.5,100,3.74142,1.24964,False
551,300,5.5,1000,3.08297,1.22618,False
552,1000,7.5,10,4.64277,1.22314,True
553,316,5.5,100,3.64029,1.20196,False
554,300,6,100,3.50501,1.17961,False
555,316,5.5,1000,2.97819,1.17748,False
556,300,6,1000,2.97388,1.16437,False
557,1000,8,10,4.40808,1.13931,True
558,316,6,100,3.40824,1.13439,True
559,300,6.5,100,3.28144,1.11887,True
560,316,6,1000,2.87418,1.11841,False
561,300,6.5,1000,2.85893,1.10851,False
562,316,6.5,100,3.19012,1.07575,True
563,300,7,100,3.06204,1.06518,True
564,316,6.5,1000,2.76344,1.06474,False
565,300,7,1000,2.73075,1.05787,False
566,316,7,100,2.97572,1.02414,True
567,300,7.5,100,2.86064,1.01673,True
568,316,7,1000,2.64026,1.01638,False
569,300,7.5,1000,2.60326,1.0112,False
570,316,7.5,100,2.77783,0.977509,True
571,300,8,100,2.67314,0.972743,False
572,316,7.5,1000,2.51697,0.9716,False
573,300,8,1000,2.47183,0.968447,False
574,316,8,100,2.59405,0.935301,False
575,316,8,1000,2.39025,0.930677,False
576,562,5.5,100,2.69258,0.779368,True
577,562,5.5,1000,2.01785,0.745171,False
578,562,6,100,2.49146,0.735006,True
579,562,6,1000,1.94563,0.710436,False
580,562,6.5,100,2.31079,0.695978,True
581,562,6.5,1000,1.86618,0.678254,False
582,562,7,100,2.1504,0.661312,True
583,562,7,1000,1.78947,0.648537,False
584,562,7.5,100,2.00377,0.630644,True
585,562,7.5,1000,1.7121,0.620918,False
586,562,8,100,1.86537,0.603526,False
587,562,8,1000,1.63016,0.595633,False
588,1000,5.5,100,1.97039,0.504015,True
589,1000,6,100,1.81534,0.474863,True
590,1000,5.5,1000,1.33715,0.464653,False
591,1000,6.5,100,1.67407,0.449282,True
592,1000,6,1000,1.28546,0.445129,False
593,1000,7,100,1.54406,0.426777,True
594,1000,6.5,1000,1.23862,0.426765,False
595,1000,7,1000,1.18858,0.409517,False
596,1000,7.5,100,1.4281,0.406768,True
597,1000,7.5,1000,1.13577,0.393172,False
598,1000,8,100,1.32599,0.38866,True
599,1000,8,1000,1.08514,0.377829,True
